img_path,timestamp,x,y,z,layer_height,extrusion_e,extrusion_rate,speed_f,nozzle_tip_x,nozzle_tip_y,layer_height_class,extrusion_class
dataset_filtered/C4d_000.jpg,2024-10-17_14-39-18,-4.788502,-39.364142,1.688841,1.2,37.45,0.8,1800,623,344,2,2
dataset_filtered/C4d_001.jpg,2024-10-17_14-39-20,-38.535324,-9.015611,1.891416,1.2,75.87,0.8,1800,623,344,2,2
dataset_filtered/C4d_002.jpg,2024-10-17_14-39-23,18.165536,35.637236,2.346352,1.2,161.87,0.8,1800,623,344,2,2
dataset_filtered/C4d_003.jpg,2024-10-17_14-39-26,31.450598,-40.402066,2.736052,1.2,235.87,0.8,1800,623,344,2,2
dataset_filtered/C4d_004.jpg,2024-10-17_14-39-29,-15.902216,-35.631536,2.938627,1.2,274.34,0.8,1800,623,344,2,2
dataset_filtered/C4d_005.jpg,2024-10-17_14-39-31,-39.904732,19.924998,3.215021,1.2,326.72,0.8,1800,623,344,2,2
dataset_filtered/C4d_006.jpg,2024-10-17_14-39-34,26.772746,29.71895,3.590987,1.2,397.72,0.8,1800,623,344,2,2
dataset_filtered/C4d_007.jpg,2024-10-17_14-39-36,18.497392,-39.233065,3.990987,1.2,473.81,0.8,1800,623,344,2,2
dataset_filtered/C4d_008.jpg,2024-10-17_14-39-39,-29.591618,-26.766275,4.209013,1.2,515.27,0.8,1800,623,344,2,2
dataset_filtered/C4d_009.jpg,2024-10-17_14-39-42,-29.557031,30.0,4.502575,1.2,570.65,0.8,1800,623,344,2,2
dataset_filtered/C4d_010.jpg,2024-10-17_14-39-44,38.209461,11.833571,4.881974,1.2,642.69,0.8,1800,623,344,2,2
dataset_filtered/C4d_011.jpg,2024-10-17_14-39-47,18.594982,-38.900492,5.190987,1.2,701.65,0.8,1800,623,344,2,2
dataset_filtered/C4d_012.jpg,2024-10-17_14-39-49,-40.37507,2.145454,5.542918,1.2,768.74,0.8,1800,623,344,2,2
dataset_filtered/C4d_013.jpg,2024-10-17_14-39-52,13.394836,37.690212,5.927468,1.2,841.32,0.8,1800,623,344,2,2
dataset_filtered/C4d_014.jpg,2024-10-17_14-39-55,27.08696,-40.686843,6.354936,1.2,923.1,0.8,1800,623,344,2,2
dataset_filtered/C4d_015.jpg,2024-10-17_14-39-57,-14.578812,-35.080805,6.53691,1.2,957.92,0.8,1800,623,344,2,2
dataset_filtered/C4d_016.jpg,2024-10-17_14-40-00,-39.150426,20.0,6.825322,1.2,1012.78,0.8,1800,623,344,2,2
dataset_filtered/C4d_017.jpg,2024-10-17_14-40-03,33.557008,20.77879,7.240773,1.2,1091.58,0.8,1800,623,344,2,2
dataset_filtered/C4d_018.jpg,2024-10-17_14-40-05,13.544175,-38.668775,7.613305,1.2,1163.08,0.8,1800,623,344,2,2
dataset_filtered/C4d_019.jpg,2024-10-17_14-40-08,-34.991655,-14.079867,7.872532,1.2,1212.78,0.8,1800,623,344,2,2
dataset_filtered/C4d_020.jpg,2024-10-17_14-40-10,-20.658174,30.0,8.14721,1.2,1264.79,0.8,1800,623,344,2,2
dataset_filtered/C4d_021.jpg,2024-10-17_14-40-13,34.906401,-41.688341,8.722318,1.2,1374.9,0.8,1800,623,344,2,2
dataset_filtered/C4d_022.jpg,2024-10-17_14-40-16,4.682497,-41.491218,8.85279,1.2,1399.98,0.8,1800,623,344,2,2
dataset_filtered/C4d_023.jpg,2024-10-17_14-40-18,-38.238924,9.845953,9.18412,1.2,1463.6,0.8,1800,623,344,2,2
dataset_filtered/C4d_024.jpg,2024-10-17_14-40-21,13.004293,37.826152,9.532618,1.2,1529.62,0.8,1800,623,344,2,2
dataset_filtered/C4d_025.jpg,2024-10-17_14-40-23,29.625007,-41.79354,9.944635,1.2,1608.88,0.8,1800,623,344,2,2
dataset_filtered/C4d_026.jpg,2024-10-17_14-40-26,-11.134472,-35.476246,10.126609,1.2,1643.88,0.8,1800,623,344,2,2
dataset_filtered/C4d_027.jpg,2024-10-17_14-40-29,-39.108487,20.0,10.433906,1.2,1702.69,0.8,1800,623,344,2,2
dataset_filtered/C4d_028.jpg,2024-10-17_14-40-31,39.731608,4.62617,10.914592,1.2,1794.5,0.8,1800,623,344,2,2
dataset_filtered/C4d_029.jpg,2024-10-17_14-40-34,2.562847,-42.003865,11.26309,1.2,1861.56,0.8,1800,623,344,2,2
dataset_filtered/C4d_030.jpg,2024-10-17_14-40-37,-36.059739,-12.313389,11.486266,1.2,1904.42,0.8,1800,623,344,2,2
dataset_filtered/C4d_031.jpg,2024-10-17_14-40-39,-19.501102,40.0,11.800429,1.2,1964.2,0.8,1800,623,344,2,2
dataset_filtered/C4d_032.jpg,2024-10-17_14-40-42,14.338156,-38.149276,12.411588,1.2,2081.46,0.8,1800,623,344,2,2
dataset_filtered/C4d_033.jpg,2024-10-17_14-40-45,-0.227406,-41.706315,12.475107,1.2,2093.63,0.8,1800,623,344,2,2
dataset_filtered/C4d_034.jpg,2024-10-17_14-40-47,-39.650574,20.0,12.833906,1.2,2162.28,0.8,1800,623,344,2,2
dataset_filtered/C4d_035.jpg,2024-10-17_14-40-50,38.626917,7.253127,13.300858,1.2,2251.27,0.8,1800,623,344,2,2
dataset_filtered/C4d_036.jpg,2024-10-17_14-40-53,13.953464,-38.337391,13.613305,1.2,2310.97,0.8,1800,623,344,2,2
dataset_filtered/C4d_037.jpg,2024-10-17_14-40-55,-30.355101,-26.741214,13.82103,1.2,2350.59,0.8,1800,623,344,2,2
dataset_filtered/C4d_038.jpg,2024-10-17_14-40-58,-20.158459,30.0,14.157511,1.2,2414.55,0.8,1800,623,344,2,2
dataset_filtered/C4d_039.jpg,2024-10-17_14-41-01,32.1198,-41.903205,14.734335,1.2,2524.07,0.8,1800,623,344,2,2
dataset_filtered/C4d_040.jpg,2024-10-17_14-41-03,-20.996158,-33.85099,14.969528,1.2,2568.69,0.8,1800,623,344,2,2
dataset_filtered/C4d_041.jpg,2024-10-17_14-41-06,-39.876491,4.724979,15.165236,1.2,2605.77,0.8,1800,623,344,2,2
dataset_filtered/C4d_042.jpg,2024-10-17_14-41-08,2.976835,39.57622,15.498283,1.2,2668.45,0.8,1800,623,344,2,2
dataset_filtered/C4d_043.jpg,2024-10-17_14-41-11,-4.853678,-39.54711,16.095708,1.2,2781.19,0.8,1800,623,344,2,2
dataset_filtered/C4d_044.jpg,2024-10-17_14-41-14,-26.741631,-30.771809,16.196996,1.2,2800.26,0.8,1800,623,344,2,2
dataset_filtered/C4d_045.jpg,2024-10-17_14-41-16,-30.0,29.729804,16.514592,1.2,2859.86,0.8,1800,623,344,2,2
dataset_filtered/C4d_046.jpg,2024-10-17_14-41-19,26.935263,-40.576787,17.156652,1.2,2980.01,0.8,1800,623,344,2,2
dataset_filtered/C4d_047.jpg,2024-10-17_14-41-22,-11.79462,-36.132328,17.328326,1.2,3012.12,0.8,1800,623,344,2,2
dataset_filtered/C4d_048.jpg,2024-10-17_14-41-24,-40.375394,1.915891,17.551502,1.2,3053.81,0.8,1800,623,344,2,2
dataset_filtered/C4d_049.jpg,2024-10-17_14-41-27,-19.414935,40.0,17.803863,1.2,3100.47,0.8,1800,623,344,2,2
